;Hoteleiros;Turismo rural;
2015/Maio;900;220;Lugo
2015/Xuño;944;226;Lugo
2015/Xullo;1074;253;Lugo
2015/Agosto;1120;278;Lugo
2015/Setembro;1023;240;Lugo
2015/Outubro;948;236;Lugo
2015/Novembro;786;182;Lugo
2015/Decembro;711;183;Lugo
2016/Xaneiro;623;130;Lugo
2016/Febreiro;653;149;Lugo
2016/Marzo;783;220;Lugo
2016/Abril;823;221;Lugo
2016/Maio;920;239;Lugo
2016/Xuño;923;252;Lugo
2016/Xullo;1051;278;Lugo
2016/Agosto;1080;279;Lugo
2016/Setembro;1049;254;Lugo
2016/Outubro;926;223;Lugo
2016/Novembro;777;178;Lugo
2016/Decembro;747;173;Lugo
2017/Xaneiro;646;139;Lugo
2017/Febreiro;670;150;Lugo
2017/Marzo;749;184;Lugo
2017/Abril;816;234;Lugo
2017/Maio;935;227;Lugo
2017/Xuño;902;238;Lugo
2017/Xullo;1052;291;Lugo
2017/Agosto;1186;304;Lugo
2017/Setembro;1046;262;Lugo
2017/Outubro;970;242;Lugo
2017/Novembro;810;197;Lugo
2017/Decembro;774;181;Lugo
2018/Xaneiro;616;142;Lugo
2018/Febreiro;727;173;Lugo
2018/Marzo;828;220;Lugo
2018/Abril;903;241;Lugo
2018/Maio;965;247;Lugo
2018/Xuño;1032;265;Lugo
2018/Xullo;1145;297;Lugo
2018/Agosto;1190;311;Lugo
2018/Setembro;1075;286;Lugo
2018/Outubro;993;245;Lugo
2018/Novembro;915;213;Lugo
2018/Decembro;875;215;Lugo
2019/Xaneiro;676;154;Lugo
2019/Febreiro;741;163;Lugo
2019/Marzo;829;201;Lugo
2019/Abril;951;250;Lugo
2019/Maio;1036;274;Lugo
2019/Xuño;1060;296;Lugo
2019/Xullo;1155;294;Lugo
2019/Agosto;1232;304;Lugo
2019/Setembro;1171;274;Lugo
2019/Outubro;1058;258;Lugo
2019/Novembro;980;209;Lugo
2019/Decembro;856;193;Lugo
2020/Xaneiro;678;137;Lugo
2020/Febreiro;755;147;Lugo
2020/Marzo;651;176;Lugo
2020/Abril;0;..;Lugo
2020/Maio;52;..;Lugo
2020/Xuño;383;113;Lugo
2020/Xullo;762;217;Lugo
2020/Agosto;918;242;Lugo
2020/Setembro;801;231;Lugo
2020/Outubro;678;199;Lugo
2020/Novembro;484;..;Lugo
2020/Decembro;421;152;Lugo
2021/Xaneiro;378;110;Lugo
2021/Febreiro;285;108;Lugo
2021/Marzo;406;151;Lugo
2021/Abril;441;166;Lugo
2021/Maio;529;184;Lugo
2021/Xuño;802;208;Lugo
2021/Xullo;963;255;Lugo
2021/Agosto;1047;247;Lugo
2021/Setembro;970;232;Lugo
2021/Outubro;896;213;Lugo
2021/Novembro;765;180;Lugo
2021/Decembro;697;185;Lugo
2022/Xaneiro;606;106;Lugo
2022/Febreiro;642;97;Lugo
2022/Marzo;729;132;Lugo
2022/Abril;893;198;Lugo
2022/Maio;909;202;Lugo
2022/Xuño;970;194;Lugo
2022/Xullo;1110;213;Lugo
2022/Agosto;1197;214;Lugo
2022/Setembro;1198;208;Lugo
2022/Outubro;998;197;Lugo
2022/Novembro;868;162;Lugo
2022/Decembro;705;150;Lugo
2023/Xaneiro;629;91;Lugo
2023/Febreiro;664;95;Lugo
2023/Marzo;808;115;Lugo
2023/Abril;976;156;Lugo
2023/Maio;1057;156;Lugo
2023/Xuño;1172;181;Lugo
2023/Xullo;1231;197;Lugo
