Periodo;Provincia;Total Regimenes(RG+RETA) TODAS LAS SECCIONES;REGIMEN GENERAL TODAS LAS SECCIONES;REG. ESP. AUTONOMOS TODAS LAS SECCIONES;Ano
202103;15. Coruña, A;409900.74;325410.13;84490.61;2021
202103;27. Lugo;112797.65;79775.26;33022.39;2021
202103;32. Ourense;97142.22;73866.22;23276.00;2021
202103;36. Pontevedra;327528.83;260523.09;67005.74;2021
202104;15. Coruña, A;411511.50;326828.05;84683.45;2021
202104;27. Lugo;113224.50;80196.40;33028.10;2021
202104;32. Ourense;97312.05;74055.95;23256.10;2021
202104;36. Pontevedra;328887.20;261610.10;67277.10;2021
202105;15. Coruña, A;415304.29;330451.71;84852.57;2021
202105;27. Lugo;114147.90;81119.43;33028.48;2021
202105;32. Ourense;98185.57;74912.05;23273.52;2021
202105;36. Pontevedra;331864.19;264331.43;67532.76;2021
202106;15. Coruña, A;418538.23;333508.64;85029.59;2021
202106;27. Lugo;115591.91;82550.05;33041.86;2021
202106;32. Ourense;99036.14;75736.82;23299.32;2021
202106;36. Pontevedra;337221.23;269337.86;67883.36;2021
202107;15. Coruña, A;423700.05;338551.27;85148.77;2021
202107;27. Lugo;117355.77;84346.00;33009.77;2021
202107;32. Ourense;100163.00;76852.55;23310.45;2021
202107;36. Pontevedra;343076.68;274899.32;68177.36;2021
202108;15. Coruña, A;425303.59;340099.82;85203.77;2021
202108;27. Lugo;118329.73;85336.45;32993.27;2021
202108;32. Ourense;100673.82;77364.45;23309.36;2021
202108;36. Pontevedra;343386.27;275148.05;68238.23;2021
202109;15. Coruña, A;422771.18;337587.55;85183.64;2021
202109;27. Lugo;117223.59;84314.14;32909.45;2021
202109;32. Ourense;100125.55;76841.68;23283.86;2021
202109;36. Pontevedra;341175.27;273117.68;68057.59;2021
202110;15. Coruña, A;424014.25;338807.95;85206.30;2021
202110;27. Lugo;116922.65;84056.10;32866.55;2021
202110;32. Ourense;99789.15;76561.45;23227.70;2021
202110;36. Pontevedra;340456.80;272557.35;67899.45;2021
202111;15. Coruña, A;426326.10;341178.90;85147.19;2021
202111;27. Lugo;116661.14;83847.62;32813.52;2021
202111;32. Ourense;100086.38;76854.57;23231.81;2021
202111;36. Pontevedra;341177.29;273300.43;67876.86;2021
202112;15. Coruña, A;425749.74;340611.00;85138.74;2021
202112;27. Lugo;116434.58;83710.89;32723.68;2021
202112;32. Ourense;99925.79;76702.37;23223.42;2021
202112;36. Pontevedra;340269.21;272346.89;67922.32;2021
202201;15. Coruña, A;421353.80;336663.80;84690.00;2022
202201;27. Lugo;115368.70;82803.45;32565.25;2022
202201;32. Ourense;99065.55;75932.30;23133.25;2022
202201;36. Pontevedra;336569.55;268974.85;67594.70;2022
202202;15. Coruña, A;423473.35;338844.95;84628.40;2022
202202;27. Lugo;115681.00;83124.40;32556.60;2022
202202;32. Ourense;99515.75;76376.40;23139.35;2022
202202;36. Pontevedra;337475.00;269854.10;67620.90;2022
202203;15. Coruña, A;425583.91;340906.00;84677.91;2022
202203;27. Lugo;115899.87;83375.52;32524.35;2022
202203;32. Ourense;99653.65;76499.30;23154.35;2022
202203;36. Pontevedra;336993.39;269424.22;67569.17;2022
202204;15. Coruña, A;428758.89;343983.26;84775.63;2022
202204;27. Lugo;116566.63;84028.26;32538.37;2022
202204;32. Ourense;99699.26;76555.84;23143.42;2022
202204;36. Pontevedra;338781.37;271294.16;67487.21;2022
202205;15. Coruña, A;431293.18;346443.36;84849.82;2022
202205;27. Lugo;117233.36;84701.27;32532.09;2022
202205;32. Ourense;100332.95;77207.45;23125.50;2022
202205;36. Pontevedra;341911.14;274265.64;67645.50;2022
202206;15. Coruña, A;433459.95;348544.18;84915.77;2022
202206;27. Lugo;117995.86;85464.41;32531.45;2022
202206;32. Ourense;101054.77;77926.55;23128.23;2022
202206;36. Pontevedra;345973.77;278121.64;67852.14;2022
202207;15. Coruña, A;436261.57;351484.90;84776.67;2022
202207;27. Lugo;118985.57;86559.29;32426.29;2022
202207;32. Ourense;101372.19;78349.05;23023.14;2022
202207;36. Pontevedra;350633.10;282747.52;67885.57;2022
202208;15. Coruña, A;435498.82;350935.86;84562.95;2022
202208;27. Lugo;119157.86;86799.59;32358.27;2022
202208;32. Ourense;101151.41;78172.00;22979.41;2022
202208;36. Pontevedra;349068.86;281340.45;67728.41;2022
202209;15. Coruña, A;433415.68;349079.91;84335.77;2022
202209;27. Lugo;118006.32;85756.00;32250.32;2022
202209;32. Ourense;100793.82;77865.23;22928.59;2022
202209;36. Pontevedra;345446.95;277950.91;67496.05;2022
202210;15. Coruña, A;434924.10;350599.95;84324.15;2022
202210;27. Lugo;117935.00;85713.75;32221.25;2022
202210;32. Ourense;100948.75;78061.10;22887.65;2022
202210;36. Pontevedra;344676.10;277282.75;67393.35;2022
202211;15. Coruña, A;435004.05;350790.67;84213.38;2022
202211;27. Lugo;116923.76;84803.10;32120.67;2022
202211;32. Ourense;101184.10;78344.05;22840.05;2022
202211;36. Pontevedra;344351.67;277022.43;67329.24;2022
202212;15. Coruña, A;432610.65;348478.25;84132.40;2022
202212;27. Lugo;116374.85;84342.05;32032.80;2022
202212;32. Ourense;100804.75;78007.30;22797.45;2022
202212;36. Pontevedra;342906.90;275644.25;67262.65;2022
202301;15. Coruña, A;427619.95;344043.00;83576.95;2023
202301;27. Lugo;115270.95;83439.43;31831.52;2023
202301;32. Ourense;99916.05;77286.76;22629.29;2023
202301;36. Pontevedra;339061.48;272135.52;66925.95;2023
202302;15. Coruña, A;430142.10;346537.25;83604.85;2023
202302;27. Lugo;115652.60;83848.90;31803.70;2023
202302;32. Ourense;100347.20;77724.65;22622.55;2023
202302;36. Pontevedra;340457.85;273429.25;67028.60;2023
202303;15. Coruña, A;434027.48;350265.91;83761.57;2023
202303;27. Lugo;116501.91;84629.35;31872.57;2023
202303;32. Ourense;100562.83;77943.26;22619.57;2023
202303;36. Pontevedra;342737.91;275500.30;67237.61;2023
202304;15. Coruña, A;436624.06;352703.17;83920.89;2023
202304;27. Lugo;117692.83;85788.50;31904.33;2023
202304;32. Ourense;101023.56;78366.44;22657.11;2023
202304;36. Pontevedra;345159.22;277792.39;67366.83;2023
202305;15. Coruña, A;440199.00;356214.09;83984.91;2023
202305;27. Lugo;118656.86;86730.09;31926.77;2023
202305;32. Ourense;102147.50;79478.09;22669.41;2023
202305;36. Pontevedra;348424.64;280851.95;67572.68;2023
202306;15. Coruña, A;442811.09;358723.64;84087.45;2023
202306;27. Lugo;119368.05;87436.18;31931.86;2023
202306;32. Ourense;102561.36;79857.59;22703.77;2023
202306;36. Pontevedra;352741.50;284925.73;67815.77;2023
202307;15. Coruña, A;446147.95;362104.10;84043.86;2023
202307;27. Lugo;120915.33;89032.10;31883.24;2023
202307;32. Ourense;103405.52;80750.62;22654.90;2023
202307;36. Pontevedra;357138.76;289130.29;68008.48;2023
202308;15. Coruña, A;445869.77;361990.05;83879.73;2023
202308;27. Lugo;121337.68;89522.27;31815.41;2023
202308;32. Ourense;103703.77;81080.36;22623.41;2023
202308;36. Pontevedra;356774.23;288837.50;67936.73;2023
202309;15. Coruña, A;443544.33;359780.43;83763.90;2023
202309;27. Lugo;120065.10;88338.14;31726.95;2023
202309;32. Ourense;103424.71;80852.86;22571.86;2023
202309;36. Pontevedra;353369.71;285678.81;67690.90;2023
