"Tipo_Aloxamento";"Ano";"Numero_Establecementos";"Area";"Area.1"
"111";"Vivendas turisticas";"2011";NA;"GALICIA";NA
"112";"Vivendas turisticas";"2012";NA;"GALICIA";NA
"113";"Vivendas turisticas";"2013";NA;"GALICIA";NA
"114";"Vivendas turisticas";"2017";200;"GALICIA";NA
"115";"Vivendas turisticas";"2018";236;"GALICIA";NA
"116";"Vivendas turisticas";"2019";234;"GALICIA";NA
"117";"Vivendas turisticas";"2020";226;"GALICIA";NA
"118";"Vivendas turisticas";"2021";222;"GALICIA";NA
"119";"Vivendas turisticas";"2022";223;"GALICIA";NA
"120";"Vivendas de uso turistico";"2003";0;"GALICIA";NA
"121";"Vivendas de uso turistico";"2004";0;"GALICIA";NA
"122";"Vivendas de uso turistico";"2005";0;"GALICIA";NA
"123";"Vivendas de uso turistico";"2006";0;"GALICIA";NA
"124";"Vivendas de uso turistico";"2007";0;"GALICIA";NA
"125";"Vivendas de uso turistico";"2008";0;"GALICIA";NA
"126";"Vivendas de uso turistico";"2009";0;"GALICIA";NA
"127";"Vivendas de uso turistico";"2010";0;"GALICIA";NA
"128";"Vivendas de uso turistico";"2011";0;"GALICIA";NA
"129";"Vivendas de uso turistico";"2012";0;"GALICIA";NA
"130";"Vivendas de uso turistico";"2013";0;"GALICIA";NA
"131";"Vivendas de uso turistico";"2017";0;"GALICIA";NA
"132";"Vivendas de uso turistico";"2018";4630;"GALICIA";NA
"133";"Vivendas de uso turistico";"2019";7643;"GALICIA";NA
"134";"Vivendas de uso turistico";"2020";9872;"GALICIA";NA
"135";"Vivendas de uso turistico";"2021";12070;"GALICIA";NA
"136";"Vivendas de uso turistico";"2022";14068;"GALICIA";NA
"137";"Hoteis";"2003";148;"A CORUNA";15
"138";"Hoteis";"2004";166;"A CORUNA";NA
"139";"Hoteis";"2005";187;"A CORUNA";NA
"140";"Hoteis";"2006";204;"A CORUNA";NA
"141";"Hoteis";"2007";219;"A CORUNA";NA
"142";"Hoteis";"2008";235;"A CORUNA";NA
"143";"Hoteis";"2009";247;"A CORUNA";NA
"144";"Hoteis";"2010";250;"A CORUNA";NA
"145";"Hoteis";"2011";259;"A CORUNA";NA
"146";"Hoteis";"2012";267;"A CORUNA";NA
"147";"Hoteis";"2013";269;"A CORUNA";NA
"148";"Hoteis";"2017";269;"A CORUNA";NA
"149";"Hoteis";"2018";268;"A CORUNA";NA
"150";"Hoteis";"2019";274;"A CORUNA";NA
"151";"Hoteis";"2020";282;"A CORUNA";NA
"152";"Hoteis";"2021";288;"A CORUNA";NA
"153";"Hoteis";"2022";294;"A CORUNA";NA
"154";"Pensions";"2003";NA;"A CORUNA";NA
"155";"Pensions";"2004";NA;"A CORUNA";NA
"156";"Pensions";"2005";NA;"A CORUNA";NA
"157";"Pensions";"2006";NA;"A CORUNA";NA
"158";"Pensions";"2007";NA;"A CORUNA";NA
"159";"Pensions";"2008";NA;"A CORUNA";NA
"160";"Pensions";"2009";463;"A CORUNA";NA
"161";"Pensions";"2010";473;"A CORUNA";NA
"162";"Pensions";"2011";502;"A CORUNA";NA
"163";"Pensions";"2012";586;"A CORUNA";NA
"164";"Pensions";"2013";558;"A CORUNA";NA
"165";"Pensions";"2017";510;"A CORUNA";NA
"166";"Pensions";"2018";520;"A CORUNA";NA
"167";"Pensions";"2019";539;"A CORUNA";NA
"168";"Pensions";"2020";562;"A CORUNA";NA
"169";"Pensions";"2021";570;"A CORUNA";NA
"170";"Pensions";"2022";576;"A CORUNA";NA
"171";"Albergues turisticos";"2003";NA;"A CORUNA";NA
"172";"Albergues turisticos";"2004";NA;"A CORUNA";NA
"173";"Albergues turisticos";"2005";NA;"A CORUNA";NA
"174";"Albergues turisticos";"2006";NA;"A CORUNA";NA
"175";"Albergues turisticos";"2007";NA;"A CORUNA";NA
"176";"Albergues turisticos";"2008";NA;"A CORUNA";NA
"177";"Albergues turisticos";"2009";NA;"A CORUNA";NA
"178";"Albergues turisticos";"2010";NA;"A CORUNA";NA
"179";"Albergues turisticos";"2011";NA;"A CORUNA";NA
"180";"Albergues turisticos";"2012";48;"A CORUNA";NA
