Tipo aloxamento,Ano,Establecementos,
Pensions,2010,473,A CORUNA
Pensions,2011,502,A CORUNA
Pensions,2012,586,A CORUNA
Pensions,2013,558,A CORUNA
Pensions,2017,510,A CORUNA
Pensions,2018,520,A CORUNA
Pensions,2019,539,A CORUNA
Pensions,2020,562,A CORUNA
Pensions,2021,570,A CORUNA
Pensions,2022,576,A CORUNA
Albergues turisticos,2003,..,A CORUNA
Albergues turisticos,2004,..,A CORUNA
Albergues turisticos,2005,..,A CORUNA
Albergues turisticos,2006,..,A CORUNA
Albergues turisticos,2007,..,A CORUNA
Albergues turisticos,2008,..,A CORUNA
Albergues turisticos,2009,..,A CORUNA
Albergues turisticos,2010,..,A CORUNA
Albergues turisticos,2011,..,A CORUNA
Albergues turisticos,2012,48,A CORUNA
Albergues turisticos,2013,62,A CORUNA
Albergues turisticos,2017,142,A CORUNA
Albergues turisticos,2018,157,A CORUNA
Albergues turisticos,2019,172,A CORUNA
Albergues turisticos,2020,182,A CORUNA
Albergues turisticos,2021,187,A CORUNA
Albergues turisticos,2022,195,A CORUNA
Turismo rural,,,A CORUNA
,2003,114,A CORUNA
,2004,122,A CORUNA
,2005,124,A CORUNA
,2006,140,A CORUNA
,2007,147,A CORUNA
,2008,159,A CORUNA
,2009,169,A CORUNA
,2010,169,A CORUNA
,2011,171,A CORUNA
,2012,172,A CORUNA
,2013,173,A CORUNA
,2017,166,A CORUNA
,2018,166,A CORUNA
,2019,165,A CORUNA
,2020,166,A CORUNA
,2021,158,A CORUNA
,2022,155,A CORUNA
Campamentos de turismo,,,A CORUNA
,2003,48,A CORUNA
,2004,47,A CORUNA
,2005,47,A CORUNA
,2006,49,A CORUNA
,2007,50,A CORUNA
,2008,50,A CORUNA
,2009,50,A CORUNA
,2010,50,A CORUNA
,2011,50,A CORUNA
,2012,50,A CORUNA
,2013,50,A CORUNA
,2017,50,A CORUNA
,2018,50,A CORUNA
,2019,52,A CORUNA
,2020,55,A CORUNA
,2021,58,A CORUNA
,2022,60,A CORUNA
Apartamentos turísticos,,,A CORUNA
,2003,..,A CORUNA
,2004,..,A CORUNA
,2005,..,A CORUNA
,2006,21,A CORUNA
,2007,23,A CORUNA
,2008,25,A CORUNA
,2009,30,A CORUNA
,2010,36,A CORUNA
,2011,33,A CORUNA
,2012,45,A CORUNA
,2013,50,A CORUNA
,2017,79,A CORUNA
,2018,88,A CORUNA
,2019,94,A CORUNA
,2020,104,A CORUNA
,2021,115,A CORUNA
,2022,130,A CORUNA
Vivendas turísticas,,,A CORUNA
,2003,..,A CORUNA
,2004,..,A CORUNA
,2005,..,A CORUNA
,2006,..,A CORUNA
,2007,..,A CORUNA
,2008,..,A CORUNA
,2009,..,A CORUNA
,2010,..,A CORUNA
,2011,..,A CORUNA
,2012,..,A CORUNA
,2013,..,A CORUNA
,2017,102,A CORUNA
,2018,114,A CORUNA
,2019,111,A CORUNA
,2020,100,A CORUNA
,2021,100,A CORUNA
,2022,102,A CORUNA
Vivendas de uso turístico,,,A CORUNA
,2003,-0,A CORUNA
,2004,-0,A CORUNA
,2005,-0,A CORUNA
